blocker_code,apparel_ethnic,footwear,watches,sunglasses,bags,belts,jewellery,unknown_general,total
delivery_return_friction,36,8,1,1,3,0,1,107,157
trust_authenticity,14,3,1,0,1,0,0,42,61
quality_doubt,13,0,1,0,2,0,0,19,35
price_wait,6,0,0,0,0,0,0,23,29
fit_size_doubt,13,3,0,0,0,0,0,7,23
decision_paralysis,1,0,0,0,0,0,0,22,23
competitor_comparison,3,0,0,0,0,0,0,15,18
bookmarking_no_intent,0,0,0,0,0,0,0,14,14
context_loss,0,0,0,0,0,0,0,14,14
size_or_stock_gone,3,1,0,0,0,0,0,6,10
confidence_validation_gap,0,0,0,0,0,0,0,8,8
occasion_timing,1,0,1,1,0,0,0,3,6
